case_no,processing_center,case_status,received_date,decision_date,employer_name,employer_address_1,employer_address_2,employer_city,employer_state,employer_postal_code,alien_citizenship_country,employer_job_title,wage_offered_from,wage_offered_to,wage_per,prevailing_wage_job_title,pw_amount,pw_level,pw_soc_code,pw_soc_title,application_type
A-05087-00006,Atlanta Processing Center,Denied,3/28/2005 0:00:00,,"ENTRAPTOR CONSULTING, INC.",BOX 370,,LINDEN,VIRGINIA,22642,WESTERN SAMOA,Senior Computer Security Specialist - Contractor,$90000.00,$115000.00,Year,Security Consultant,85000,Level IV,15-1071.01,Computer Security Specialists,PERM
A-05087-00007,Atlanta Processing Center,Denied,3/28/2005 0:00:00,,"MANDEE FOOD MART, LLC DBA LEE'S MARKET",2262 HARBOR VIEW DR.,,DUNEDIN,FLORIDA,34698,INDIA,Ast. Store Manager,$10.41,$11.10,Hour,Assistant Store Manger,10.41,Level I,49-1011.00,"First-Line Supervisors/Managers of Mechanics, Inst",PERM
A-05087-00012,Atlanta Processing Center,Withdrawn,3/28/2005 0:00:00,,"MVCL, LLC (BARRETT¿S CLEANERS)",261 NC HWY 42 EAST,,CLAYTON,NORTH CAROLINA,27520,SOUTH KOREA,Tailor,$20000.00,,Year,Tailor,18970,Level III,51-6052.00,"Tailors, Dressmakers, and Custom Sewers",PERM
A-05087-00013,Atlanta Processing Center,Denied,3/28/2005 0:00:00,,"FLORIDA BLOOD SERVICES, INC.",10100 DR. MARTIN LUTHER KING JR. ST. NORTH,,ST. PETERSBURG,FLORIDA,33716,PHILIPPINES,medical technologist,$686.00,,Week,medical technologist,580,Level I,29-2011.00,Medical and Clinical Laboratory Technologists,PERM
A-05087-00024,Atlanta Processing Center,Denied,3/28/2005 0:00:00,,"ALL STARS LEARNING AND TRAINING CENTER, INC.",5321 VILLAGE MARKET DRIVE,,WESLEY CHAPEL,FLORIDA,33543,VENEZUELA,Instructional Coordinator - Sports/Academic,$29000.00,,Year,Instructional Coordinator,110880,Level I,25-9031.00,Instructional Coordinators,PERM
A-05117-01731,Atlanta Processing Center,Certified,4/27/2005 0:00:00,7/8/2005 18:03:48,APEX TECHNOLOGY GROUP INC.,2703 MERRYWOOD DRIVE,,EDISON,NEW JERSEY,08817,INDIA,SYSTEM & APPLICATION ADMINISTRATOR,$100000.00,,Year,SYSTEM/APPLICATION ADMINISTRATOR,41.14,Level IV,15-1051.00,Computer Systems Analysts,PERM
A-05117-01734,Atlanta Processing Center,Certified,5/24/2005 0:00:00,6/1/2005 17:37:31,"VIECORE, INC.",600 E. CRESCENT AVENUE,,UPPER SADDLE RIVER,NEW JERSEY,07458,CHINA,Technical Consultant,$71000.00,,Year,"Computer Software Engineers, Applications",30.73,Level II,15-1031.00,"Computer Software Engineers, Applications",PERM
A-05117-01739,Atlanta Processing Center,Denied,4/27/2005 0:00:00,,FOUNTAIN AND ROCK PRESBYTERIAN CHURCH,110 PIERMONT ROAD,,CLOSTER,NEW JERSEY,07624,SOUTH KOREA,Family and Religious Counselor,$19.09,,Hour,Family and Religious Counselor,19.09,Level II,21-2011.00,Clergy,PERM
A-05117-01751,Atlanta Processing Center,Denied,4/27/2005 0:00:00,,TOMOKA EQUINE PRACTICE,4325 MARSH BEND,,DELAND,FLORIDA,32724,NETHERLANDS,Assistant Veterinarian,$7.82,$9.48,Hour,Associate Veternarian,9.48,Level I,29-1131.00,Veterinarians,PERM
A-05117-01752,Atlanta Processing Center,Denied,4/27/2005 0:00:00,,FOUNTAIN AND ROCK PRESBYTERIAN CHURCH,110 PIERMONT ROAD,,CLOSTER,NEW JERSEY,07624,SOUTH KOREA,Family and Religious Counselor,$19.09,,Hour,Family and Religious Counselor,19.09,Level II,21-2011.00,Clergy,PERM
A-05117-01754,Atlanta Processing Center,Denied,5/10/2005 0:00:00,,"FRANCIS CAUFFMAN FOLEY HOFFMAN ARCHICTECTS, LTD.",2120 ARCH STREET,,PHILA,PENNSYLVANIA,19103,SOUTH KOREA,Staff Architectural Designer,$34320.00,,Year,Staff Architectural Designer,33862,Level II,17-3011.01,Architectural Drafters,PERM
A-05117-01761,Atlanta Processing Center,Denied,5/2/2005 0:00:00,,"OBVERSE, INC.","6925 WILLOW STREET, NW",SUITE 230,WASHINGTON,DISTRICT OF COLUMBIA,20012,CHINA,Software Engineer,$49774.00,,Year,Software Engineer,49774,Level I,15-1031.00,"Computer Software Engineers, Applications",PERM
A-05117-01769,Atlanta Processing Center,Certified,5/12/2005 0:00:00,6/1/2005 18:00:12,ELOYALTY CORPORATION,150 FIELD DRIVE,SUITE 250,LAKE FOREST,ILLINOIS,60045,BANGLADESH,Siebel Developer,$47986.00,$82500.00,Year,Siebel Developer,47986,Level II,15-1031.00,"Computer Software Engineers, Applications",PERM
A-05117-01772,Atlanta Processing Center,Certified,5/9/2005 0:00:00,6/9/2005 9:55:35,CSRA REGIONAL DEVELOPMENT CENTER,3023 RIVERWATCH PARKWAY,SUITE A,AUGUSTA,GEORGIA,30907,CANADA,Transportation Planner,$35000.00,$45000.00,Year,Transportation Planner,32053,Level I,19-3051.00,Urban and Regional Planners,PERM
A-05117-01777,Atlanta Processing Center,Certified,8/4/2005 0:00:00,8/9/2005 16:41:29,"BROADER SOFTWARE, LLC",55 BROAD STREET,11TH FLOOR,NEW YORK,NEW YORK,10004,INDIA,Computer Systems Analyst,$37.00,$42.50,Hour,Computer Systems Analyst,35.07,Level III,15-1051.00,Computer Systems Analysts,PERM
A-05117-01778,Atlanta Processing Center,Certified,5/16/2005 0:00:00,9/6/2005 14:06:43,"TRI-DEV, INC.","3423 CONNECTICUT AVENUE, NW",,WASHINGTON,DISTRICT OF COLUMBIA,20008,INDIA,Manager,$29869.00,,Year,"Manager, Retail Store",29869,Level II,41-1011.00,First-Line Supervisors/Managers of Retail Sales Wo,PERM
A-05118-01805,Atlanta Processing Center,Denied,4/27/2005 0:00:00,,"ISLAND GLEN CLUB & ORGANIC FARM , INC.","3426 STATE ROUTE 17 B , BOX 4",,BETHEL,NEW YORK,12720,NORTH KOREA,SPECIALTY COOK ( SUSHI AND SASHIMI),$8.14,,Hour,SPECIALTY COOK ( SUSHI AND SASHIMI),8.14,Level I,35-2014.00,"Cooks, Restaurant",PERM
A-05118-01814,Atlanta Processing Center,Denied,4/27/2005 0:00:00,,"ISLAND GLEN CLUB & ORGANIC FARM , INC.","3426 STATE ROUTE 17 B , BOX 4",,BETHEL,NEW YORK,12720,NORTH KOREA,SPECIALTY COOK ( SUSHI AND SASHIMI),$8.14,,Hour,SPECIALTY COOK (KOREAN FOOD),8.14,Level I,35-2014.00,"Cooks, Restaurant",PERM
A-05118-01815,Atlanta Processing Center,Certified,5/25/2005 0:00:00,9/26/2005 15:20:52,FOGO DE CHAO CHURRASCARIA (HOLDINGS) LLP,15028 BELTWAY DRIVE,,ADDISON,TEXAS,75001,BRAZIL,Churrasqueiro (Gaucho Chef),$45000.00,,Year,Chefs and Head Cooks,21986,Level I,35-1011.00,Chefs and Head Cooks,PERM
A-05118-01822,Atlanta Processing Center,Denied,4/27/2005 0:00:00,,FITCHBURG PUBLIC SCHOOL,376 SOUTH STREET,,FITCHBURG,MASSACHUSETTS,01420,RUSSIA,ENGLISH TEACHER,$38000.00,,Year,ENGLISH TEACHER,38000,Level I,25-2031.00,"Secondary School Teachers, Except Special and Voca",PERM
